,Day1,Day2,Day3,Day4,Day5,Day6,Day7
Browsing,114.658284,112.8938609,116.7170858,106.3664941,118.9242599,105.0554734,111.1815828
Social Media,117.8173077,131.5968935,123.908284,116.2359467,112.5620915,112.6989645,143.0173817
Gaming,19.18897929,23.87352071,22.77588757,21.87426036,21.55171088,20.20821006,26.36279586
Calls,41.3964497,41.45525148,41.74926036,37.82914201,42.4236832,33.0072,42.61168639
Music,12.97744083,15.38720414,13.13313609,16.13313609,13.9550173,8.920118343,18.05251479
Gallery,9.724482249,6.045488166,9.807692308,6.350591716,7.417531719,7.291789941,6.977810651
Streaming,83.06989645,68.70451183,60.97152367,57.24741124,46.81468666,65.39940828,67.35022189
Shopping,4.370931953,4.606139053,5.684171598,3.175295858,7.37716263,3.410502959,7.449704142
Others,22.62758876,29.93786982,16.36945266,20.80140533,25.22183775,21.05251479,32.44944252
